track_status,weighted_anc4,weighted_sba,total_births
off-track,54.827121937769455,68.75096501739651,44961262
on-track,67.96226061483598,90.28645213078198,43336837
Difference (off - on),-13.135138677066529,-21.53548711338547,NA
